"position";"title";"url";"ytg_score";"ytg_danger";"sme_score";"sme_danger"
1;"WODNEWS - L'actualité du Crossfit en France et l'étranger !";"http://www.wodnews.com/";32;7;6;0
2;"Le CrossFit : la nouvelle tendance sportive ! - Crossfit-France.org";"http://www.crossfit-france.org/";37;7;0;0
3;"CrossFit France - Accueil | Facebook";"https://fr-fr.facebook.com/CrossFit-France-123647241054562/";11;1;18;0
4;"DOSSIER CROSSFIT 1/2 : Définition, avantages, risques et limites ...";"https://www.lequipe.fr/Ilosport/Fitness/Actualites/Dossier-crossfit-1-2-definition-avantages-risques-et-limites-du-crossfit/778028";74;25;48;0
5;"Liste des Affiliées | play-fitness";"http://play-fitness.fr/communaute/boxs/liste-des-boxs/";34;100;13;7
6;"AU DELÀ DES LIMITES - Documentaire sur le Crossfit en France ...";"https://www.youtube.com/watch%3Fv%3Dbk4jlpt05co";0;0;0;0
7;"Trouvez la salle CrossFit la plus proche de chez vous | Reebok ...";"http://www.reebokcrossfitlouvre.com/crossfiters/salle-la-plus-proche";8;0;13;13
8;"Reebok CrossFit Louvre : préparation physique pour tous !";"http://www.reebokcrossfitlouvre.com/";13;1;13;7
9;"Apprenez à bien choisir votre box de CRossFit avant de débuter";"http://www.crossfitgavroche.com/choisir-sa-box-de-crossfit.html";73;29;28;0
10;"Sport : on a testé le... CrossFit - France 3 Bourgogne-Franche-Comté";"https://france3-regions.francetvinfo.fr/bourgogne-franche-comte/cote-d-or/dijon/sport-on-teste-crossfit-1452019.html";24;5;23;0
11;"CrossFit — Wikipédia";"https://fr.wikipedia.org/wiki/CrossFit";109;37;32;0
12;"Le Crossfit, la discipline qui bouscule les salles de sport - La Croix";"https://www.la-croix.com/Sport/Le-Crossfit-discipline-bouscule-salles-sport-2016-11-19-1200804279";124;52;36;0
13;"Silvaticus CrossFit Paris 11";"https://www.silvaticus.fr/";0;0;0;0
14;"CrossFit Cestio | Lille | Découvrir";"http://crossfit-cestio.com/";40;14;23;0
15;"Ils sont les stars du CrossFit ! - Le Parisien";"http://www.leparisien.fr/sports/iledefrance/paris-75/ils-sont-les-stars-du-crossfit-26-05-2016-5831235.php";0;0;0;0
16;"Guillaume Magnouat : « Le CrossFit explose en France » - Sportmag";"http://www.sportmag.fr/crossfit/guillaume-magnouat-le-crossfit-explose-en-france/";12;3;18;0
17;"Daniel Chaffey, le roi français du CrossFit - Fitness Challenges";"https://fitness-challenges.com/daniel-chaffey-le-roi-francais-du-crossfit/";46;17;12;0
18;"CrossFit Nancy";"http://www.crossfit-nancy.fr/";24;2;32;0
19;"CrossFit Villeneuve Loubet";"http://www.crossfit-villeneuve-loubet.com/";16;1;12;0
20;"Toulouse représente la France au Mondial de crossfit - 27/07/2018 ...";"https://www.ladepeche.fr/article/2018/07/27/2842548-toulouse-represente-la-france-au-mondial-de-crossfit.html";26;7;12;0
21;"French Throwdown";"https://frenchthrowdown.com/";4;0;12;0
22;"CrossFit France (@crossfitfrance) • Photos et vidéos Instagram";"https://www.instagram.com/crossfitfrance/%3Fhl%3Dfr";0;0;0;0
23;"Reebok CrossFit | Site Officiel Reebok";"https://www.reebok.fr/crossfit";29;9;6;7
24;"CrossFit Grenoble box affiliée | Découvre le fitness dans sa version 2.0";"https://grenoble-crossfit.com/";26;5;28;0
25;"Wod France Events";"https://wodfrance-events.fr/";8;2;6;0
26;"Workout'mag - le numéro 1 du CrossFit en France";"http://www.workoutmag.fr/";0;0;0;0
27;"Des lycéens aux championnats de France de crossfit";"http://www.lavoixdunord.fr/342064/article/2018-03-23/des-lyceens-aux-championnats-de-france-de-crossfit";9;2;18;0
28;"CrossFit Rouen — avenue de la Libération, Rouen Rive Gauche";"https://www.crossfit-rouen.com/";3;0;6;7
29;"Reebok CrossFit débarque en France | - Sportsmarketing.fr";"http://www.sportsmarketing.fr/reebok-crossfit-france/";21;5;6;0
30;"Chelles. Le CrossFit muscle la ville – actu.fr";"https://actu.fr/ile-de-france/chelles_77108/chelles-crossfit-muscle-ville_15407762.html";35;8;18;0
31;"Crossfit : la mode US débarque en France - Barbichette.fr";"http://barbichette.fr/crossfit-france/";43;9;32;0
32;"Home | CrossFit Antibes-Vallauris-Juan les Pins";"http://crossfit-vallisaurea.com/";4;0;6;0
33;"Rios CrossFit";"http://rioscrossfit.com/";12;3;7;7
34;"FIT' & RACK | Materiel Sportif Made in France | Cross Training ...";"https://www.fitandrack.eu/";0;0;0;0
35;"Box de crossfit à Paris | Crossfit CMG";"https://www.crossfitxiii.fr/";0;0;0;0
36;"Agent commercial crossfit fitness sport FRANCE";"https://www.agent-co.fr/fr/missions-commerciales/agent-commercial-france-crossfit-fitness-sport--632557";20;6;18;0
37;"CROSSFIT BEZIERS: Salle de crossfit, Béziers, Narbonne, Sérignan";"https://www.crossfit-beziers.fr/";32;9;18;0
38;"Crossfit L'engrenage: Votre salle de CROSSFIT à Annecy le Vieux";"http://www.crossfitlengrenage.com/";8;1;7;7
39;"CrossFit Ballers";"http://www.crossfitballers.com/";4;0;7;7
40;"CrossFit Nimes, 1800m² dédiés à la forme & bien-être";"https://crossfit-nimes.com/";13;2;7;7
41;"Crossfit Arles-Salle de Crossfit à Arles PACA";"https://www.crossfitarles.fr/";17;4;12;0
42;"Crossfit Minimes - Crossfit Albi - Salle de CrossFit à Toulouse";"https://www.crossfitminimes.com/";14;1;6;0
43;"Crossfit Chtx : Votre Salle de sport à Déols - Châteauroux";"https://www.crossfitchtx.com/";7;1;6;0
44;"2ème édition Challenge F5RCE France - 100 Pourcent CrossFit";"https://100pourcentcrossfit.fr/2eme-edition-challenge-f5rce-france/";3;0;6;0
45;"CrossFit à Roissy en France, trouver les clubs de sport à proximité";"https://www.pagesjaunes.fr/annuaire/roissy-en-france-95/crossfit";0;0;0;0
46;"Update Studio: CrossFit en France - CrossFit Games";"https://games.crossfit.com/video/update-studio-crossfit-en-france/open";12;1;6;0
47;"Box officielle CrossFit BREST - Salle de sport fitness à BREST";"https://www.crossfit-brest.fr/";17;2;0;0
48;"CrossFit Lutèce, salle de CrossFit Paris 15e - CrossFit Lutèce";"https://www.crossfitlutece.com/";0;0;0;0
49;"Cours particuliers de Crossfit, annonces de professeurs efficaces en ...";"https://www.superprof.fr/cours/crossfit/france/";80;36;32;0
50;"T-shirt Noir France men Crossfit - THORUS WEAR";"https://thorus-wear.com/fr/homme-t-shirts/33-t-shirt-noir-france-men.html";1;0;0;0
